iter	RMSE
0	4115.279259
1	4012.292846
2	3911.6723
3	3813.657865
4	3718.701714
5	3625.773431
6	3535.17116
7	3447.336556
8	3361.148509
9	3278.289013
10	3196.934982
11	3117.274657
12	3039.864743
13	2965.218485
14	2891.916911
15	2820.340341
16	2750.739616
17	2683.084616
18	2616.233684
19	2551.802026
20	2489.327852
21	2427.740143
22	2367.80337
23	2309.43187
24	2252.842534
25	2197.867705
26	2143.774209
27	2091.265695
28	2040.351783
29	1990.789966
30	1941.597597
31	1894.564608
32	1848.373064
33	1803.669071
34	1760.373728
35	1717.759974
36	1676.357568
37	1636.020951
38	1596.695224
39	1558.207752
40	1521.239131
41	1485.024324
42	1449.80627
43	1415.511838
44	1382.113725
45	1349.917916
46	1318.597083
47	1287.699923
48	1257.847727
49	1228.411338
50	1199.898106
51	1172.525765
52	1145.567942
53	1119.787491
54	1094.419346
55	1069.750382
56	1045.293848
57	1021.548437
58	998.7922802
59	976.4806999
60	954.9788678
61	934.0590949
62	913.8076658
63	893.8669621
64	874.4911283
65	855.9224549
66	837.5231887
67	819.6961759
68	802.6143163
69	785.723177
70	769.5620797
71	753.8591894
72	738.4396447
73	723.6214265
74	709.2237745
75	695.3853591
76	681.6874869
77	668.4698874
78	655.7913428
79	643.4232629
80	631.2834504
81	620.0121424
82	608.6399354
83	597.6897702
84	587.2451259
85	577.1206865
86	567.3482917
87	557.7638747
88	548.4805214
89	539.5698597
90	530.8234519
91	522.4301108
92	514.2906448
93	506.4440691
94	498.8758662
95	491.5946515
96	484.3903399
97	477.5705191
98	471.00453
99	464.7203564
100	458.4692199
101	452.5566945
102	446.7764548
103	441.2404671
104	436.0383405
105	430.9251014
106	426.0528391
107	421.3134224
108	416.7017851
109	412.4093258
110	408.2136713
111	404.2349642
112	400.2020991
113	396.463963
114	392.8327223
115	389.3296098
116	385.9858677
117	382.6737067
118	379.5857791
119	376.6608708
120	373.8431761
121	371.0683633
122	368.4198611
123	365.8461787
124	363.4664592
125	361.1321766
126	358.8751358
127	356.6588245
128	354.5678169
129	352.531566
130	350.6929552
131	348.8438168
132	347.1333644
133	345.4162475
134	343.7851936
135	342.1918067
136	340.6971198
137	339.1906505
138	337.8737149
139	336.5080965
140	335.2572128
141	334.1369733
142	332.9652672
143	331.8171428
144	330.783639
145	329.6978286
146	328.6553747
147	327.6210419
148	326.6561027
149	325.7432041
150	324.9379067
151	324.0992932
152	323.2613044
153	322.4579421
154	321.6912317
155	320.964137
156	320.1565075
157	319.4708682
158	318.7972412
159	318.124429
160	317.518124
161	316.8761104
162	316.2963069
163	315.6771234
164	315.0832831
165	314.5519473
166	313.9516125
167	313.4495329
168	312.9980307
169	312.5337572
170	312.0242459
171	311.5996215
172	311.1686402
173	310.774918
174	310.3286181
175	309.8862483
176	309.420362
177	309.05327
178	308.6808516
179	308.3632012
180	307.9650807
181	307.6334758
182	307.2633304
183	306.9358728
184	306.5976735
185	306.2994829
186	306.0023922
187	305.6530048
188	305.3384924
189	305.0704229
190	304.7863892
191	304.5153416
192	304.2376294
193	303.933396
194	303.6864104
195	303.4323185
196	303.2045042
197	302.9594708
198	302.727669
199	302.4615814
200	302.2119997
201	301.9865402
202	301.7546685
203	301.5011129
204	301.2715495
205	301.0687066
206	300.8599865
207	300.6440282
208	300.4444108
209	300.2876812
210	300.0597645
211	299.8798363
212	299.6907361
213	299.5124075
214	299.2723894
215	299.0627873
216	298.8934387
217	298.7117754
218	298.4681398
219	298.2578646
220	298.0726947
221	297.8559515
222	297.6570151
223	297.5080811
224	297.3235601
225	297.1511387
226	296.9504976
227	296.7718727
228	296.6214437
229	296.4698328
230	296.277471
231	296.1073404
232	295.9145349
233	295.7243239
234	295.5481872
235	295.381393
236	295.2306489
237	295.0643458
238	294.9064123
239	294.7602528
240	294.6316923
241	294.4885684
242	294.3403695
243	294.1928206
244	294.0999261
245	293.9713493
246	293.8176726
247	293.7325889
248	293.5995307
249	293.4623986
250	293.299965
251	293.1642519
252	293.0065365
253	292.9419931
254	292.8586706
255	292.7050366
256	292.5543082
257	292.4314428
258	292.3018858
259	292.1623459
260	292.0304084
261	291.9090263
262	291.7926573
263	291.7020102
264	291.56659
265	291.4255058
266	291.3197358
267	291.1876892
268	291.0900862
269	290.9559416
270	290.8531091
271	290.737272
272	290.5951289
273	290.4979929
274	290.361733
275	290.2593676
276	290.2174573
277	290.1282062
278	290.0751199
279	289.9731987
280	289.9065526
281	289.8436708
282	289.8035129
283	289.6558183
284	289.5293918
285	289.3984747
286	289.3321954
287	289.2279596
288	289.1246769
289	288.9872414
290	288.8672275
291	288.7566938
292	288.6678378
293	288.5544867
294	288.442123
295	288.3177553
296	288.2110486
297	288.1650951
298	288.0314097
299	287.9150769
300	287.8613261
301	287.7643848
302	287.7184125
303	287.6109026
304	287.5130031
305	287.4752716
306	287.3535133
307	287.2422815
308	287.1349036
309	287.0212089
310	286.920606
311	286.8254742
312	286.7136472
313	286.6729409
314	286.5925763
315	286.4883596
316	286.406419
317	286.373042
318	286.296525
319	286.2285447
320	286.1502655
321	286.049886
322	285.9616816
323	285.9265229
324	285.8532967
325	285.7448216
326	285.6335509
327	285.5134185
328	285.4088536
329	285.3257315
330	285.2416869
331	285.1385569
332	285.0524062
333	284.9532724
334	284.880772
335	284.7562965
336	284.6709962
337	284.5847418
338	284.4880066
339	284.424183
340	284.3527536
341	284.239127
342	284.1730579
343	284.0551006
344	283.9396524
345	283.8689566
346	283.7613766
347	283.7207751
348	283.6709015
349	283.6416163
350	283.6082786
351	283.5676404
352	283.5052081
353	283.4306081
354	283.3576566
355	283.2759056
356	283.1956365
357	283.117661
358	283.0315168
359	283.0049816
360	282.9037419
361	282.7945545
362	282.6716574
363	282.6119843
364	282.5283254
365	282.4532123
366	282.3568054
367	282.2481896
368	282.1974174
369	282.0924213
370	281.9984161
371	281.9127154
372	281.8409199
373	281.7720937
374	281.7005939
375	281.635445
376	281.5434289
377	281.4986474
378	281.4300175
379	281.3531143
380	281.3220197
381	281.2701655
382	281.1817829
383	281.1550539
384	281.0881394
385	280.9996227
386	280.9747043
387	280.9064463
388	280.8331984
389	280.717241
390	280.6266223
391	280.5705154
392	280.5001655
393	280.4317915
394	280.3764312
395	280.3012679
396	280.2239038
397	280.1509603
398	280.0868211
399	280.0210883
400	279.9173664
401	279.8412801
402	279.7573657
403	279.6856505
404	279.6246818
405	279.5722497
406	279.4492166
407	279.3774623
408	279.3190556
409	279.2609033
410	279.1734563
411	279.1306791
412	279.0783823
