iter	Passed	Remaining
0	54	54455
1	59	29643
2	63	21154
3	69	17186
4	73	14678
5	79	13109
6	85	12113
7	92	11489
8	100	11058
9	106	10554
10	112	10152
11	116	9611
12	120	9145
13	123	8688
14	126	8284
15	128	7922
16	131	7607
17	134	7325
18	137	7081
19	139	6855
20	142	6647
21	147	6539
22	150	6387
23	154	6290
24	157	6136
25	159	5992
26	162	5860
27	165	5742
28	168	5631
29	171	5530
30	173	5438
31	176	5354
32	179	5267
33	182	5183
34	185	5103
35	187	5027
36	190	4959
37	193	4894
38	196	4835
39	198	4773
40	201	4714
41	204	4660
42	207	4607
43	210	4564
44	213	4522
45	215	4479
46	218	4433
47	221	4395
48	224	4354
49	227	4313
50	229	4272
51	232	4242
52	235	4215
53	239	4195
54	242	4160
55	245	4140
56	248	4112
57	251	4086
58	254	4055
59	257	4026
60	259	3997
61	262	3970
62	265	3942
63	268	3919
64	270	3895
65	274	3877
66	277	3858
67	279	3834
68	283	3818
69	285	3796
70	288	3773
71	291	3756
72	294	3738
73	297	3722
74	300	3705
75	303	3695
76	307	3684
77	310	3668
78	313	3653
79	316	3635
80	318	3616
81	321	3597
82	324	3580
83	326	3562
84	329	3551
85	332	3538
86	335	3525
87	338	3512
88	341	3497
89	344	3484
90	347	3469
91	350	3458
92	353	3450
93	356	3436
94	361	3444
95	364	3432
96	367	3422
97	370	3408
98	373	3398
99	376	3392
100	379	3381
101	382	3371
102	385	3360
103	388	3347
104	391	3334
105	393	3322
106	397	3316
107	400	3304
108	402	3292
109	405	3281
110	408	3273
111	411	3265
112	414	3257
113	417	3248
114	420	3238
115	423	3226
116	426	3216
117	428	3206
118	431	3195
119	434	3185
120	437	3174
121	440	3167
122	443	3163
123	446	3155
124	449	3144
125	453	3143
126	455	3133
127	458	3123
128	461	3113
129	464	3106
130	467	3101
131	470	3094
132	473	3085
133	476	3076
134	478	3068
135	482	3062
136	484	3054
137	487	3045
138	490	3035
139	492	3027
140	495	3020
141	499	3016
142	502	3010
143	505	3002
144	507	2994
145	510	2985
146	513	2977
147	515	2969
148	518	2960
149	521	2952
150	523	2945
151	526	2938
152	529	2930
153	532	2922
154	534	2914
155	537	2907
156	539	2898
157	542	2891
158	546	2891
159	550	2890
160	554	2889
161	557	2882
162	559	2875
163	562	2867
164	565	2860
165	568	2854
166	570	2846
167	573	2840
168	576	2833
169	579	2829
170	582	2822
171	585	2818
172	588	2815
173	591	2808
174	594	2802
175	595	2788
176	598	2781
177	600	2774
178	603	2768
179	606	2761
180	608	2754
181	611	2748
182	614	2741
183	616	2735
184	619	2729
185	622	2722
186	624	2715
187	627	2710
188	631	2711
189	635	2708
190	638	2704
191	641	2699
192	643	2692
193	646	2686
194	649	2683
195	652	2676
196	655	2671
197	659	2669
198	661	2663
199	664	2657
200	666	2651
201	669	2645
202	672	2642
203	675	2636
204	678	2631
205	682	2629
206	684	2623
207	687	2617
208	690	2611
209	693	2607
210	695	2601
211	698	2596
212	701	2590
213	703	2585
214	706	2580
215	709	2574
216	711	2568
217	714	2562
218	717	2558
219	720	2553
220	723	2548
221	726	2544
222	729	2540
223	731	2535
224	735	2531
225	737	2526
226	740	2522
227	743	2517
228	746	2511
229	749	2509
230	752	2504
231	755	2500
232	758	2495
233	760	2490
234	763	2485
235	766	2479
236	768	2475
237	771	2471
238	774	2465
239	777	2460
240	779	2455
241	782	2452
242	785	2447
243	788	2442
244	791	2437
245	794	2433
246	796	2429
247	799	2423
248	802	2419
249	805	2415
250	807	2410
251	810	2405
252	812	2398
253	815	2395
254	817	2388
255	820	2383
256	823	2380
257	825	2373
258	828	2369
259	830	2364
260	833	2360
261	836	2356
262	839	2351
263	841	2346
264	844	2343
265	848	2340
266	850	2335
267	853	2330
268	856	2327
269	859	2323
270	861	2318
271	865	2316
272	868	2312
273	871	2309
274	874	2304
275	876	2300
276	879	2295
277	882	2290
278	884	2286
279	887	2281
280	890	2277
281	892	2273
282	895	2269
283	898	2264
284	900	2260
285	903	2256
286	906	2251
287	909	2247
288	911	2243
289	914	2240
290	917	2235
291	920	2231
292	923	2227
293	925	2223
294	928	2218
295	931	2214
296	933	2210
297	936	2206
298	939	2202
299	942	2198
300	945	2194
301	948	2191
302	951	2187
303	953	2183
304	956	2179
305	959	2175
306	961	2170
307	964	2166
308	967	2163
309	970	2160
310	973	2156
311	975	2152
312	978	2148
313	981	2144
314	984	2140
315	986	2136
316	989	2132
317	992	2129
318	995	2125
319	998	2121
320	1001	2117
321	1003	2113
322	1006	2109
323	1009	2106
324	1012	2101
325	1014	2098
326	1017	2094
327	1020	2091
328	1023	2087
329	1025	2082
330	1028	2078
331	1031	2074
332	1033	2070
333	1036	2067
334	1040	2065
335	1043	2062
336	1046	2059
337	1049	2055
338	1052	2051
339	1055	2048
340	1057	2044
341	1060	2041
342	1063	2037
343	1066	2034
344	1069	2030
345	1072	2026
346	1074	2022
347	1077	2018
348	1079	2014
349	1082	2010
350	1085	2006
351	1088	2003
352	1091	2001
353	1095	1998
354	1098	1995
355	1100	1991
356	1103	1988
357	1106	1984
358	1109	1980
359	1112	1977
360	1114	1973
361	1117	1969
362	1120	1966
363	1124	1964
364	1127	1961
365	1130	1958
366	1133	1954
367	1135	1950
368	1138	1946
369	1141	1943
370	1144	1941
371	1148	1938
372	1151	1935
373	1154	1931
374	1157	1928
375	1159	1925
376	1163	1921
377	1166	1919
378	1169	1916
379	1172	1913
380	1175	1909
381	1178	1906
382	1180	1902
383	1183	1898
384	1186	1895
385	1189	1891
386	1192	1888
387	1194	1884
388	1197	1881
389	1200	1878
390	1203	1874
391	1206	1870
392	1208	1867
393	1211	1863
394	1215	1861
395	1218	1858
396	1220	1854
397	1224	1852
398	1227	1848
399	1232	1848
400	1236	1847
401	1240	1844
402	1244	1843
403	1247	1840
404	1250	1836
405	1253	1833
406	1256	1830
407	1259	1826
408	1262	1824
409	1266	1822
410	1269	1818
411	1272	1816
412	1276	1814
413	1279	1811
414	1283	1809
415	1287	1807
416	1290	1804
417	1294	1802
418	1298	1800
419	1301	1797
420	1304	1794
421	1307	1791
422	1310	1787
423	1313	1783
424	1315	1780
425	1318	1776
426	1321	1772
427	1323	1769
428	1326	1765
429	1329	1762
430	1332	1759
431	1335	1755
432	1338	1752
433	1340	1748
434	1344	1746
435	1347	1742
436	1349	1738
437	1352	1735
438	1355	1731
439	1357	1728
440	1360	1724
441	1363	1720
442	1366	1717
443	1369	1714
444	1372	1711
445	1376	1709
446	1378	1706
447	1381	1702
448	1384	1699
449	1387	1696
450	1390	1692
451	1393	1689
452	1397	1687
453	1400	1684
454	1404	1682
455	1413	1686
456	1426	1694
457	1429	1691
458	1433	1689
459	1436	1685
460	1438	1682
461	1442	1679
462	1445	1676
463	1448	1673
464	1451	1669
465	1453	1665
466	1456	1662
467	1459	1659
468	1462	1655
469	1465	1652
470	1468	1649
471	1472	1647
472	1475	1643
473	1478	1640
474	1481	1637
475	1484	1633
476	1487	1630
477	1489	1626
478	1493	1624
479	1496	1621
480	1499	1617
481	1502	1614
482	1505	1611
483	1509	1609
484	1512	1605
485	1515	1602
486	1518	1599
487	1521	1595
488	1523	1592
489	1526	1588
490	1529	1585
491	1532	1582
492	1535	1578
493	1538	1575
494	1541	1572
495	1544	1569
496	1547	1566
497	1550	1563
498	1553	1559
499	1556	1556
500	1559	1552
501	1561	1549
502	1564	1545
503	1567	1542
504	1569	1538
505	1572	1535
506	1576	1532
507	1579	1529
508	1581	1525
509	1584	1522
510	1587	1518
511	1589	1515
512	1592	1511
513	1595	1508
514	1597	1504
515	1600	1501
516	1603	1498
517	1606	1494
518	1609	1491
519	1612	1488
520	1614	1484
521	1617	1481
522	1620	1478
523	1623	1474
524	1626	1471
525	1629	1468
526	1631	1464
527	1634	1461
528	1637	1457
529	1640	1454
530	1643	1451
531	1646	1448
532	1649	1445
533	1652	1442
534	1655	1439
535	1658	1435
536	1661	1432
537	1663	1428
538	1666	1425
539	1669	1421
540	1672	1418
541	1675	1415
542	1678	1412
543	1680	1409
544	1683	1405
545	1686	1402
546	1689	1398
547	1691	1395
548	1694	1391
549	1696	1388
550	1699	1385
551	1702	1382
552	1706	1379
553	1710	1376
554	1713	1373
555	1715	1370
556	1718	1366
557	1721	1363
558	1723	1359
559	1726	1356
560	1729	1353
561	1732	1350
562	1735	1347
563	1738	1344
564	1742	1341
565	1745	1338
566	1748	1335
567	1751	1332
568	1754	1329
569	1757	1325
570	1760	1322
571	1764	1320
572	1768	1317
573	1771	1315
574	1774	1311
575	1777	1308
576	1780	1305
577	1783	1302
578	1786	1299
579	1790	1296
580	1792	1292
581	1795	1289
582	1799	1286
583	1802	1283
584	1805	1280
585	1808	1277
586	1811	1274
587	1814	1271
588	1817	1268
589	1820	1264
590	1823	1261
591	1826	1258
592	1828	1255
593	1831	1251
594	1834	1248
595	1837	1245
596	1841	1242
597	1845	1240
598	1848	1237
599	1850	1233
600	1853	1230
601	1856	1227
602	1859	1224
603	1862	1221
604	1865	1217
605	1868	1214
606	1870	1211
607	1874	1208
608	1877	1205
609	1880	1202
610	1883	1199
611	1886	1195
612	1889	1192
613	1891	1189
614	1894	1186
615	1897	1182
616	1900	1179
617	1902	1176
618	1905	1172
619	1908	1169
620	1910	1166
621	1914	1163
622	1916	1159
623	1919	1156
624	1923	1153
625	1925	1150
626	1929	1147
627	1931	1144
628	1935	1141
629	1937	1138
630	1941	1135
631	1944	1132
632	1947	1129
633	1950	1125
634	1952	1122
635	1955	1119
636	1958	1115
637	1960	1112
638	1963	1109
639	1966	1105
640	1968	1102
641	1971	1099
642	1975	1096
643	1978	1093
644	1981	1090
645	1983	1087
646	1986	1083
647	1989	1080
648	1991	1077
649	1994	1073
650	1998	1071
651	2001	1068
652	2003	1064
653	2006	1061
654	2009	1058
655	2013	1055
656	2017	1053
657	2020	1050
